"unique_ID","species","Long","Lat","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
236,"Eucalyptus phaenophylla",118.376944444444,-33.55,"160","126","51","4290","301","54","247","116","201","215","106","353","50","14","41","140","53","53","136"
237,"Eucalyptus quaerenda",118.392777777778,-33.5336111111111,"161","127","51","4318","302","54","248","117","202","216","107","352","50","14","41","141","53","53","135"
238,"Eucalyptus tenera ",118.376944444444,-33.5311111111111,"161","127","51","4318","302","54","248","117","202","216","107","352","50","14","41","141","53","53","135"
238,"Eucalyptus tenera ",118.376944444444,-33.55,"160","126","51","4290","301","54","247","116","201","215","106","353","50","14","41","140","53","53","136"
239,"Eucalyptus loxophleba subsp. loxophleba",118.105555555556,-33.0430555555556,"159","132","50","4619","310","48","262","113","204","219","102","357","56","12","48","153","47","50","149"
240,"Eucalyptus hebetifolia",117.799722222222,-32.9744444444444,"159","131","49","4656","310","47","263","112","204","219","102","365","58","10","52","161","46","46","159"
241,"Eucalyptus capillosa (subsp. polyclada)",118.195833333333,-32.6430555555556,"164","136","49","4831","320","47","273","115","211","227","105","347","56","12","49","151","46","49","146"
242,"Eucalyptus kondininensis",118.263611111111,-32.5005555555556,"168","138","50","4911","325","49","276","118","216","232","108","341","56","12","48","148","45","49","143"
243,"Eucalyptus ornata",118.349444444444,-32.4508333333333,"166","139","49","4945","324","45","279","115","214","229","105","345","56","13","47","148","46","51","143"
244,"Eucalyptus rigidula",117.846666666667,-32.3319444444444,"162","136","49","4924","319","43","276","114","210","226","103","355","62","10","56","164","41","42","159"
245,"Eucalyptus erythronema subsp. inornata",117.665833333333,-32.1986111111111,"167","137","49","5023","325","47","278","117","216","232","106","346","62","10","58","163","38","41","158"
246,"Eucalyptus marginata subsp. thalassica",116.053055555556,-31.33,"179","126","48","4650","330","71","259","124","239","242","124","671","138","8","83","371","35","39","371"
247,"Eucalyptus todtiana",116.011944444444,-31.3397222222222,"179","124","48","4589","326","72","254","124","237","240","124","703","144","9","82","388","36","41","388"
248,"Eucalyptus petrensis",115.448611111111,-31.2869444444444,"184","105","51","3492","299","95","204","154","228","232","143","679","146","5","86","387","27","36","293"
249,"Eucalyptus argutifolia",115.446111111111,-31.2858333333333,"184","105","51","3492","299","95","204","154","228","232","143","679","146","5","86","387","27","36","293"
250,"Eucalyptus macrocarpa subsp. elachantha",115.564444444444,-30.7716666666667,"182","119","51","4109","313","81","232","133","234","237","133","570","120","9","86","326","32","36","326"
251,"Eucalyptus x abdita (arachnaea x E. redunca)",115.614722222222,-30.6972222222222,"181","122","50","4264","318","77","241","131","236","238","131","570","121","9","83","320","34","38","320"
252,"Eucalyptus gittinsii subsp. illucida",115.614722222222,-30.6972222222222,"181","122","50","4264","318","77","241","131","236","238","131","570","121","9","83","320","34","38","320"
255,"Eucalyptus lane-poolei",115.385,-30.4033333333333,"181","124","51","4213","317","77","240","130","234","237","130","601","133","7","82","338","34","38","338"
261,"Eucalyptus macrocarpa subsp. macrocarpa",115.4125,-30.1486111111111,"184","129","50","4500","329","76","253","130","222","245","130","578","128","7","80","320","35","39","320"
263,"Eucalyptus exilis",115.303055555556,-30.0661111111111,"189","130","51","4449","333","80","253","135","245","249","135","563","125","6","82","313","33","36","313"
264,"Eucalyptus x impensa (E. macrocarpa x E. pyriformis)",115.255,-30.0025,"191","130","51","4431","335","82","253","138","227","251","138","557","124","6","82","311","33","35","311"
265,"Eucalyptus erythrocorys",115.088055555556,-29.8713888888889,"198","130","52","4336","341","91","250","147","253","257","147","529","120","5","84","300","27","30","300"
266,"Eucalyptus obtusiflora subsp. dongarraensis",114.968888888889,-29.6355555555556,"200","129","52","4260","341","93","248","160","253","258","149","505","117","5","87","291","24","28","290"
267,"Eucalyptus zopherophloia",114.978333333333,-29.5886111111111,"201","130","52","4271","342","93","249","161","255","259","150","498","116","5","88","288","23","28","286"
269,"Eucalyptus oraria",114.916666666667,-29.1841666666667,"200","131","51","4349","342","90","252","159","254","258","147","461","111","4","91","276","20","28","267"
270,"Eucalyptus ebbanoensis subsp. photina",114.965,-28.8986111111111,"194","133","51","4505","338","80","258","151","230","254","139","479","111","5","86","277","28","38","269"
271,"Eucalyptus diminuta",114.695,-28.7016666666667,"192","129","52","4151","329","84","245","155","223","248","142","503","116","4","89","294","23","35","287"
272,"Eucalyptus blaxellii",114.695,-28.7016666666667,"192","129","52","4151","329","84","245","155","223","248","142","503","116","4","89","294","23","35","287"
273,"Eucalyptus dolichocera",115.095,-28.7011111111111,"196","136","50","4824","345","77","268","149","236","260","136","444","99","6","80","250","30","44","242"
274,"Eucalyptus oldfieldii",115.174722222222,-28.6886111111111,"196","138","50","4961","347","74","273","147","238","261","134","430","94","7","79","239","31","46","230"
275,"Eucalyptus jucunda",115.174722222222,-28.6886111111111,"196","138","50","4961","347","74","273","147","238","261","134","430","94","7","79","239","31","46","230"
276,"Eucalyptus leptopoda subsp. arctata",115.621388888889,-28.5238888888889,"201","144","48","5585","366","68","298","143","221","273","131","325","64","8","65","167","30","50","156"
277,"Eucalyptus kochii subsp. borealis",115.778611111111,-28.5766666666667,"200","145","48","5690","367","65","302","140","220","273","128","306","58","9","61","152","31","51","139"
278,"Eucalyptus subangusta subsp. pusilla",115.835555555556,-28.915,"197","145","48","5656","364","63","301","138","248","270","126","332","64","9","65","167","32","48","158"
280,"Eucalyptus ewartiana x E. leptopoda subsp. arctata",116.369722222222,-29.8661111111111,"192","143","48","5488","357","63","294","135","212","262","123","341","65","10","63","169","36","43","162"
280,"Eucalyptus ewartiana",116.369722222222,-29.8661111111111,"192","143","48","5488","357","63","294","135","212","262","123","341","65","10","63","169","36","43","162"
281,"Eucalyptus stowardii",116.369722222222,-29.8661111111111,"192","143","48","5488","357","63","294","135","212","262","123","341","65","10","63","169","36","43","162"
282,"Eucalyptus rhodantha",116.116111111111,-30.2627777777778,"183","138","48","5283","347","62","285","130","232","252","119","420","81","11","67","214","36","49","209"
284,"Eucalyptus x pruiniramis (E. accedens x E. loxophleba)",116.0325,-30.2625,"185","137","48","5195","346","64","282","133","232","253","121","434","86","10","70","225","35","47","221"
285,"Eucalyptus wandoo subsp. pulverea",116.039166666667,-30.2411111111111,"187","138","48","5194","348","66","282","135","234","255","123","425","85","10","71","221","34","47","217"
286,"Eucalyptus virella",116.384444444444,-30.1444444444444,"188","141","48","5361","353","62","291","133","238","257","121","362","69","10","63","180","36","43","174"
287,"Eucalyptus armillata",116.873055555556,-30.2838888888889,"186","141","48","5369","349","59","290","130","208","255","119","342","64","11","60","164","38","44","159"
288,"Eucalyptus kochii subsp. kochii",116.873055555556,-30.2838888888889,"186","141","48","5369","349","59","290","130","208","255","119","342","64","11","60","164","38","44","159"
290,"Eucalyptus subangusta subsp. subangusta",116.685,-30.4772222222222,"186","139","48","5304","348","62","286","132","237","254","120","345","63","10","60","166","36","41","159"
291,"Eucalyptus leptopoda subsp. arctata",116.756944444444,-30.5886111111111,"184","137","48","5288","345","61","284","130","235","252","118","347","63","10","60","167","36","42","160"
292,"Eucalyptus rigidula",116.771944444444,-30.6883333333333,"184","136","48","5299","344","62","282","129","234","252","118","351","63","10","59","169","36","42","163"
293,"Eucalyptus ebbanoensis subsp. ebbanoensis",116.639166666667,-30.8302777777778,"180","135","48","5259","340","60","280","126","229","247","115","381","69","10","63","186","37","42","182"
294,"Eucalyptus recta",117.173333333333,-30.7783333333333,"181","137","47","5373","342","56","286","125","203","250","114","326","59","11","57","155","38","43","149"
295,"Eucalyptus gardneri subsp. gardneri",117.167777777778,-30.7761111111111,"181","137","47","5373","342","56","286","125","203","250","114","326","59","11","57","155","38","43","149"
295,"Eucalyptus gardneri subsp. gardneri",117.167777777778,-30.7763888888889,"181","137","47","5373","342","56","286","125","203","250","114","326","59","11","57","155","38","43","149"
296,"Eucalyptus arachnaea subsp. arachnaea",117.160833333333,-30.7755555555556,"180","137","48","5379","341","56","285","124","202","249","113","335","60","11","58","158","40","43","152"
297,"Eucalyptus synandra",117.409722222222,-30.5147222222222,"184","139","47","5507","346","56","290","125","238","254","115","320","58","11","56","148","37","40","141"
